locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBAEIFD_00942	CDS	1344	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
JDBAEIFD_00943	CDS	927				hypothetical protein
JDBAEIFD_00944	CDS	1341	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
JDBAEIFD_00945	CDS	2640	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
JDBAEIFD_00946	CDS	1338	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
JDBAEIFD_00947	CDS	852	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
JDBAEIFD_00948	CDS	978				hypothetical protein
JDBAEIFD_00949	CDS	300		7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit 11
JDBAEIFD_00950	CDS	2001	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
JDBAEIFD_00951	CDS	1539	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
JDBAEIFD_00952	CDS	1743	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
JDBAEIFD_00953	CDS	1005	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
JDBAEIFD_00954	CDS	1989				hypothetical protein
JDBAEIFD_00955	CDS	765	stp_2	3.1.3.16	COG0631	Serine/threonine phosphatase stp
JDBAEIFD_00956	CDS	3978	eccC		COG1674	ESX secretion system protein EccC
JDBAEIFD_00957	CDS	1458				hypothetical protein
JDBAEIFD_00958	CDS	1296				hypothetical protein
JDBAEIFD_00959	CDS	507				hypothetical protein
JDBAEIFD_00960	CDS	285	esxA_2			ESAT-6-like protein EsxA
JDBAEIFD_00961	CDS	312				hypothetical protein
JDBAEIFD_00962	CDS	1389				hypothetical protein
JDBAEIFD_00963	CDS	1263				hypothetical protein
JDBAEIFD_00964	CDS	144				hypothetical protein
JDBAEIFD_00965	CDS	1344				hypothetical protein
JDBAEIFD_00966	CDS	1347				hypothetical protein
JDBAEIFD_00967	CDS	1245				hypothetical protein
JDBAEIFD_00968	CDS	1011	rarD		COG2962	Protein RarD
JDBAEIFD_00969	CDS	1386	fprA	1.18.1.2	COG0493	NADPH-ferredoxin reductase FprA
JDBAEIFD_00970	CDS	765	glnQ_1			Glutamine transport ATP-binding protein GlnQ
JDBAEIFD_00971	CDS	900				hypothetical protein
JDBAEIFD_00972	CDS	846	fliY		COG0834	L-cystine-binding protein FliY
JDBAEIFD_00973	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX 
JDBAEIFD_00974	CDS	1149	soxA_1	1.5.3.1		Monomeric sarcosine oxidase
JDBAEIFD_00975	CDS	498				hypothetical protein
JDBAEIFD_00976	tRNA	83				tRNA-Tyr(gta)
JDBAEIFD_00977	CDS	462				hypothetical protein
JDBAEIFD_00978	tRNA	74				tRNA-Thr(ggt)
JDBAEIFD_00979	tRNA	76				tRNA-Met(cat)
JDBAEIFD_00980	CDS	171	rpmG2_1		COG0267	50S ribosomal protein L33 2
JDBAEIFD_00981	CDS	450				hypothetical protein
JDBAEIFD_00982	CDS	432				hypothetical protein
JDBAEIFD_00983	CDS	1419				hypothetical protein
JDBAEIFD_00984	CDS	945	ipsA_2			HTH-type transcriptional regulator IpsA
JDBAEIFD_00985	CDS	1266	ybjJ_2			Inner membrane protein YbjJ
JDBAEIFD_00986	CDS	1125	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
JDBAEIFD_00987	CDS	1068		3.5.4.40	COG1816	Aminodeoxyfutalosine deaminase
JDBAEIFD_00988	CDS	678	copR_1			Transcriptional activator protein CopR
JDBAEIFD_00989	CDS	1530	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
JDBAEIFD_00990	CDS	1233	aspC1	2.6.1.1	COG0436	Aspartate aminotransferase
JDBAEIFD_00991	tRNA	74				tRNA-Trp(cca)
JDBAEIFD_00992	CDS	264	secE			Protein translocase subunit SecE
JDBAEIFD_00993	CDS	822	nusG		COG0250	Transcription termination/antitermination protein NusG
JDBAEIFD_00994	CDS	432	rplK		COG0080	50S ribosomal protein L11
JDBAEIFD_00995	CDS	720	rplA		COG0081	50S ribosomal protein L1
JDBAEIFD_00996	CDS	1068				hypothetical protein
JDBAEIFD_00997	CDS	1857				hypothetical protein
JDBAEIFD_00998	CDS	630				hypothetical protein
JDBAEIFD_00999	CDS	504				hypothetical protein
JDBAEIFD_01000	CDS	2613				hypothetical protein
JDBAEIFD_01001	CDS	531	rplJ		COG0244	50S ribosomal protein L10
JDBAEIFD_01002	CDS	390	rplL		COG0222	50S ribosomal protein L7/L12
JDBAEIFD_01003	CDS	3507	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
JDBAEIFD_01004	CDS	3867	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
JDBAEIFD_01005	CDS	372	rpsL			30S ribosomal protein S12
JDBAEIFD_01006	CDS	471	rpsG		COG0049	30S ribosomal protein S7
JDBAEIFD_01007	CDS	2103	fusA		COG0480	Elongation factor G
JDBAEIFD_01008	CDS	1194	tuf		COG0050	Elongation factor Tu
JDBAEIFD_01009	CDS	393				hypothetical protein
JDBAEIFD_01010	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
JDBAEIFD_01011	CDS	660	rplC		COG0087	50S ribosomal protein L3
JDBAEIFD_01012	CDS	690	rplD		COG0088	50S ribosomal protein L4
JDBAEIFD_01013	CDS	303	rplW		COG0089	50S ribosomal protein L23
JDBAEIFD_01014	CDS	837	rplB		COG0090	50S ribosomal protein L2
JDBAEIFD_01015	CDS	282	rpsS		COG0185	30S ribosomal protein S19
JDBAEIFD_01016	CDS	369	rplV		COG0091	50S ribosomal protein L22
JDBAEIFD_01017	CDS	837	rpsC		COG0092	30S ribosomal protein S3
JDBAEIFD_01018	CDS	417	rplP		COG0197	50S ribosomal protein L16
JDBAEIFD_01019	CDS	240	rpmC		COG0255	50S ribosomal protein L29
JDBAEIFD_01020	CDS	285	rpsQ		COG0186	30S ribosomal protein S17
JDBAEIFD_01021	CDS	369	rplN		COG0093	50S ribosomal protein L14
JDBAEIFD_01022	CDS	342	rplX		COG0198	50S ribosomal protein L24
JDBAEIFD_01023	CDS	567	rplE		COG0094	50S ribosomal protein L5
JDBAEIFD_01024	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
JDBAEIFD_01025	CDS	399	rpsH		COG0096	30S ribosomal protein S8
JDBAEIFD_01026	CDS	540	rplF		COG0097	50S ribosomal protein L6
JDBAEIFD_01027	CDS	372	rplR		COG0256	50S ribosomal protein L18
JDBAEIFD_01028	CDS	648	rpsE		COG0098	30S ribosomal protein S5
JDBAEIFD_01029	CDS	183	rpmD		COG1841	50S ribosomal protein L30
JDBAEIFD_01030	CDS	714				hypothetical protein
JDBAEIFD_01031	CDS	1299	secY		COG0201	Protein translocase subunit SecY
JDBAEIFD_01032	CDS	573	adk	2.7.4.3	COG0563	Adenylate kinase
JDBAEIFD_01033	CDS	843	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
JDBAEIFD_01034	CDS	930				hypothetical protein
JDBAEIFD_01035	CDS	222	infA		COG0361	Translation initiation factor IF-1
JDBAEIFD_01036	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
JDBAEIFD_01037	CDS	381	rpsM		COG0099	30S ribosomal protein S13
JDBAEIFD_01038	CDS	402	rpsK		COG0100	30S ribosomal protein S11
JDBAEIFD_01039	CDS	1011	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
JDBAEIFD_01040	CDS	522				hypothetical protein
JDBAEIFD_01041	CDS	795	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
JDBAEIFD_01042	CDS	666				hypothetical protein
JDBAEIFD_01043	CDS	768	ppgK_1	2.7.1.63	COG1940	Polyphosphate glucokinase
JDBAEIFD_01044	CDS	951	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JDBAEIFD_01045	CDS	456				hypothetical protein
JDBAEIFD_01046	CDS	1683	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
JDBAEIFD_01047	CDS	420				hypothetical protein
JDBAEIFD_01048	CDS	603	argO		COG1279	Arginine exporter protein ArgO
JDBAEIFD_01049	CDS	903			COG0583	putative HTH-type transcriptional regulator
JDBAEIFD_01050	CDS	450	rplM		COG0102	50S ribosomal protein L13
JDBAEIFD_01051	CDS	489	rpsI		COG0103	30S ribosomal protein S9
JDBAEIFD_01052	CDS	1350	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
JDBAEIFD_01053	CDS	966	def_1	3.5.1.88		Peptide deformylase
JDBAEIFD_01054	CDS	681				hypothetical protein
JDBAEIFD_01055	CDS	636				hypothetical protein
JDBAEIFD_01056	CDS	951	coaA	2.7.1.33	COG1072	Pantothenate kinase
JDBAEIFD_01057	CDS	1623				hypothetical protein
JDBAEIFD_01058	CDS	1857	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
JDBAEIFD_01059	CDS	354	acpS	2.7.8.7		Holo-[acyl-carrier-protein] synthase
JDBAEIFD_01060	CDS	987	fgd1_1	1.1.98.2	COG2141	F420-dependent glucose-6-phosphate dehydrogenase 1
JDBAEIFD_01061	CDS	1524	nnr_1		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
JDBAEIFD_01062	CDS	675	udk	2.7.1.48		Uridine kinase
JDBAEIFD_01063	CDS	1266	alr_2	5.1.1.1	COG0787	Alanine racemase
JDBAEIFD_01064	CDS	579				hypothetical protein
JDBAEIFD_01065	CDS	693	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
JDBAEIFD_01066	CDS	489	rimI	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
JDBAEIFD_01067	CDS	870	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
JDBAEIFD_01068	CDS	642	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
JDBAEIFD_01069	CDS	1077	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
JDBAEIFD_01070	CDS	531				hypothetical protein
JDBAEIFD_01071	CDS	357				hypothetical protein
JDBAEIFD_01072	CDS	2640				hypothetical protein
JDBAEIFD_01073	CDS	732				hypothetical protein
JDBAEIFD_01074	CDS	660				hypothetical protein
JDBAEIFD_01075	CDS	834	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
JDBAEIFD_01076	CDS	837	drrB_1			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
JDBAEIFD_01077	CDS	1149		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
JDBAEIFD_01078	CDS	483				hypothetical protein
JDBAEIFD_01079	CDS	756				hypothetical protein
JDBAEIFD_01080	CDS	297	groS_1		COG0234	10 kDa chaperonin
JDBAEIFD_01081	CDS	297	whiD			Transcriptional regulator WhiD
JDBAEIFD_01082	CDS	957				hypothetical protein
JDBAEIFD_01083	CDS	249	malT_3			HTH-type transcriptional regulator MalT
JDBAEIFD_01084	CDS	1515	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
JDBAEIFD_01085	CDS	720	polC	2.7.7.7		DNA polymerase III PolC-type
JDBAEIFD_01086	CDS	222				hypothetical protein
JDBAEIFD_01087	CDS	1125		1.-.-.-	COG0516	putative oxidoreductase/MSMEI_1564
JDBAEIFD_01088	tRNA	86				tRNA-Cys(gca)
JDBAEIFD_01089	CDS	948	pfkB_1	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
JDBAEIFD_01090	CDS	456	fruA_1		COG1299	PTS system fructose-specific EIIABC component
JDBAEIFD_01091	CDS	1521	fruA_2		COG1299	PTS system fructose-specific EIIB'BC component
JDBAEIFD_01092	CDS	303	ptsH_1			Phosphocarrier protein HPr
JDBAEIFD_01093	CDS	1701	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
JDBAEIFD_01094	CDS	870	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
JDBAEIFD_01095	CDS	1611	gabD2	1.2.1.79	COG1012	Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2
JDBAEIFD_01096	CDS	1278	ackA	2.7.2.1	COG0282	Acetate kinase
JDBAEIFD_01097	CDS	2112	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
JDBAEIFD_01098	CDS	2487	xfp	4.1.2.22		Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
JDBAEIFD_01099	CDS	822			COG3346	putative SURF1-like protein
JDBAEIFD_01100	CDS	945	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JDBAEIFD_01101	CDS	858				hypothetical protein
JDBAEIFD_01102	CDS	1455				hypothetical protein
JDBAEIFD_01103	CDS	675	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
JDBAEIFD_01104	CDS	432	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
JDBAEIFD_01105	CDS	1734	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
JDBAEIFD_01106	CDS	1815	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
JDBAEIFD_01107	CDS	1584	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
JDBAEIFD_01108	CDS	384				putative protein
JDBAEIFD_01109	CDS	1134	mgs	2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
JDBAEIFD_01110	CDS	486				hypothetical protein
JDBAEIFD_01111	CDS	492				hypothetical protein
JDBAEIFD_01112	CDS	804				hypothetical protein
JDBAEIFD_01113	CDS	1467				hypothetical protein
JDBAEIFD_01114	CDS	1323				hypothetical protein
JDBAEIFD_01115	CDS	675	nreC_1		COG2197	Oxygen regulatory protein NreC
JDBAEIFD_01116	CDS	348				hypothetical protein
JDBAEIFD_01117	CDS	483				hypothetical protein
JDBAEIFD_01118	CDS	2559	uvrD1	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1
JDBAEIFD_01119	CDS	540	clpC1_1			ATP-dependent Clp protease ATP-binding subunit ClpC1
JDBAEIFD_01120	CDS	210				hypothetical protein
JDBAEIFD_01121	CDS	684	tmk_2	2.7.4.9		Thymidylate kinase
JDBAEIFD_01122	CDS	336	dksA_1			RNA polymerase-binding transcription factor DksA
JDBAEIFD_01123	CDS	1554	pal_2			Peptidoglycan-associated lipoprotein
JDBAEIFD_01124	CDS	1182	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
JDBAEIFD_01125	CDS	882	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
JDBAEIFD_01126	CDS	1278				hypothetical protein
JDBAEIFD_01127	CDS	552				hypothetical protein
JDBAEIFD_01128	CDS	681	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
JDBAEIFD_01129	CDS	1608	purH		COG0138	Bifunctional purine biosynthesis protein PurH
JDBAEIFD_01130	CDS	1221	andAa	1.18.1.3		Anthranilate 1,2-dioxygenase system ferredoxin--NAD(+) reductase component
JDBAEIFD_01131	CDS	405				hypothetical protein
JDBAEIFD_01132	CDS	1035	aqpZ_2			Aquaporin Z
JDBAEIFD_01133	CDS	1218	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
JDBAEIFD_01134	CDS	993	mdh	1.1.1.37	COG0039	Malate dehydrogenase
JDBAEIFD_01135	CDS	372				hypothetical protein
JDBAEIFD_01136	CDS	276				hypothetical protein
JDBAEIFD_01137	CDS	5922	glgX_1	3.2.1.196		Glycogen debranching enzyme
JDBAEIFD_01138	CDS	1479				hypothetical protein
JDBAEIFD_01139	CDS	876	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
JDBAEIFD_01140	CDS	498				hypothetical protein
JDBAEIFD_01141	CDS	774				hypothetical protein
JDBAEIFD_01142	CDS	1059				hypothetical protein
JDBAEIFD_01143	CDS	951				hypothetical protein
JDBAEIFD_01144	CDS	570				hypothetical protein
JDBAEIFD_01145	CDS	627				hypothetical protein
JDBAEIFD_01146	CDS	1290	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
JDBAEIFD_01147	CDS	882	folD		COG0190	Bifunctional protein FolD protein
JDBAEIFD_01148	CDS	486				hypothetical protein
JDBAEIFD_01149	CDS	834	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
JDBAEIFD_01150	CDS	441				hypothetical protein
JDBAEIFD_01151	CDS	1314	entS_5			Enterobactin exporter EntS
JDBAEIFD_01152	CDS	558				hypothetical protein
JDBAEIFD_01153	CDS	1248	macB_2	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
JDBAEIFD_01154	CDS	720	yknY_2	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
JDBAEIFD_01155	CDS	1644	smc_1			Chromosome partition protein Smc
JDBAEIFD_01156	CDS	963				hypothetical protein
JDBAEIFD_01157	CDS	1230	macB_3	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
JDBAEIFD_01158	CDS	834	yknY_3	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
JDBAEIFD_01159	CDS	1032				hypothetical protein
JDBAEIFD_01160	CDS	927				hypothetical protein
JDBAEIFD_01161	CDS	1227	galK	2.7.1.6	COG0153	Galactokinase
JDBAEIFD_01162	CDS	1188	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
JDBAEIFD_01163	CDS	855	csqR		COG1349	HTH-type transcriptional repressor CsqR
JDBAEIFD_01164	CDS	1152	mrp		COG0489	Iron-sulfur cluster carrier protein
JDBAEIFD_01165	CDS	579				hypothetical protein
JDBAEIFD_01166	CDS	1314				hypothetical protein
JDBAEIFD_01167	CDS	633				hypothetical protein
JDBAEIFD_01168	CDS	1536	pepPI	3.4.11.9		Xaa-Pro aminopeptidase 1
JDBAEIFD_01169	CDS	843		3.1.3.97	COG0613	3',5'-nucleoside bisphosphate phosphatase
JDBAEIFD_01170	CDS	624				hypothetical protein
JDBAEIFD_01171	CDS	1773	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
JDBAEIFD_01172	CDS	774				hypothetical protein
JDBAEIFD_01173	CDS	231				hypothetical protein
JDBAEIFD_01174	CDS	669	slmA_2			Nucleoid occlusion factor SlmA
JDBAEIFD_01175	CDS	852				hypothetical protein
JDBAEIFD_01176	CDS	3234	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
JDBAEIFD_01177	CDS	3501	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
JDBAEIFD_01178	CDS	321				hypothetical protein
JDBAEIFD_01179	CDS	942				hypothetical protein
JDBAEIFD_01180	CDS	1116	nudC_1	3.6.1.22		NADH pyrophosphatase
JDBAEIFD_01181	CDS	264		1.-.-.-	COG0695	Putative glutaredoxin.1
JDBAEIFD_01182	CDS	2061	uvrD2	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD2
JDBAEIFD_01183	CDS	222				hypothetical protein
JDBAEIFD_01184	CDS	351	whiB_1			Transcriptional regulator WhiB
JDBAEIFD_01185	CDS	999				hypothetical protein
JDBAEIFD_01186	CDS	159				hypothetical protein
JDBAEIFD_01187	CDS	627				hypothetical protein
JDBAEIFD_01188	CDS	1398				hypothetical protein
JDBAEIFD_01189	CDS	987				hypothetical protein
JDBAEIFD_01190	CDS	1131	ylbL		COG3480	putative protein YlbL
JDBAEIFD_01191	CDS	558				hypothetical protein
JDBAEIFD_01192	CDS	3060				hypothetical protein
JDBAEIFD_01193	tRNA	75				tRNA-Met(cat)
JDBAEIFD_01194	CDS	1620				hypothetical protein
JDBAEIFD_01195	CDS	1617				hypothetical protein
JDBAEIFD_01196	CDS	1197	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
JDBAEIFD_01197	CDS	954	ligd		COG1793	Bifunctional non-homologous end joining protein LigD
JDBAEIFD_01198	CDS	1542	sucP	2.4.1.7	COG0366	Sucrose phosphorylase
JDBAEIFD_01199	CDS	195				hypothetical protein
JDBAEIFD_01200	CDS	156				hypothetical protein
JDBAEIFD_01201	CDS	1152	ntaA_1	1.14.14.10		Nitrilotriacetate monooxygenase component A
JDBAEIFD_01202	CDS	1371	ntaA_2	1.14.14.10		Nitrilotriacetate monooxygenase component A
JDBAEIFD_01203	CDS	906				hypothetical protein
JDBAEIFD_01204	CDS	1032				hypothetical protein
JDBAEIFD_01205	CDS	735	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
JDBAEIFD_01206	CDS	1014				hypothetical protein
JDBAEIFD_01207	CDS	1167	soxA_2	1.5.3.1		Monomeric sarcosine oxidase
JDBAEIFD_01208	CDS	1257	fgd_3	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
JDBAEIFD_01209	CDS	1110	ssuD_1	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
JDBAEIFD_01210	CDS	1119	ssuD_2	1.14.14.5		Alkanesulfonate monooxygenase
JDBAEIFD_01211	CDS	1476	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
JDBAEIFD_01212	CDS	2586	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
JDBAEIFD_01213	CDS	969				hypothetical protein
JDBAEIFD_01214	CDS	258				hypothetical protein
JDBAEIFD_01215	CDS	1530			COG1366	putative protein
JDBAEIFD_01216	CDS	627				hypothetical protein
JDBAEIFD_01217	CDS	417				hypothetical protein
JDBAEIFD_01218	CDS	1008				hypothetical protein
JDBAEIFD_01219	CDS	1032	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
JDBAEIFD_01220	CDS	720				hypothetical protein
JDBAEIFD_01221	CDS	93				hypothetical protein
JDBAEIFD_01222	CDS	954				hypothetical protein
JDBAEIFD_01223	CDS	1020	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
JDBAEIFD_01224	CDS	744	metP		COG2011	Methionine import system permease protein MetP
JDBAEIFD_01225	CDS	1932				hypothetical protein
JDBAEIFD_01226	CDS	771				hypothetical protein
JDBAEIFD_01227	CDS	624				hypothetical protein
JDBAEIFD_01228	CDS	705				hypothetical protein
JDBAEIFD_01229	CDS	951			COG3039	IS5 family transposase IS4811
JDBAEIFD_01230	CDS	849	purR_1		COG1609	HTH-type transcriptional repressor PurR
JDBAEIFD_01231	CDS	2259				hypothetical protein
JDBAEIFD_01232	CDS	666				hypothetical protein
JDBAEIFD_01233	CDS	585				hypothetical protein
JDBAEIFD_01234	CDS	741	yflN	3.-.-.-	COG0491	putative metallo-hydrolase YflN
JDBAEIFD_01235	CDS	723				hypothetical protein
JDBAEIFD_01236	CDS	444				hypothetical protein
JDBAEIFD_01237	CDS	420				hypothetical protein
JDBAEIFD_01238	CDS	441				18 kDa heat shock protein
JDBAEIFD_01239	CDS	99				hypothetical protein
JDBAEIFD_01240	CDS	570	petC_2	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
JDBAEIFD_01241	CDS	570				hypothetical protein
JDBAEIFD_01242	CDS	1302	celB	3.2.1.4	COG5297	Endoglucanase E-2
JDBAEIFD_01243	CDS	405	crcB_1			Putative fluoride ion transporter CrcB
JDBAEIFD_01244	CDS	372	crcB_2			Putative fluoride ion transporter CrcB
JDBAEIFD_01245	CDS	993				hypothetical protein
JDBAEIFD_01246	CDS	837	alkA		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
JDBAEIFD_01247	CDS	1650				hypothetical protein
JDBAEIFD_01248	CDS	645				hypothetical protein
JDBAEIFD_01249	CDS	972	pafB_1		COG2378	Protein PafB
JDBAEIFD_01250	CDS	1041	drrA_2	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
JDBAEIFD_01251	CDS	828				hypothetical protein
JDBAEIFD_01252	CDS	552	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
JDBAEIFD_01253	CDS	471				hypothetical protein
JDBAEIFD_01254	CDS	198				hypothetical protein
JDBAEIFD_01255	CDS	375	doc		COG3654	Toxin Doc
JDBAEIFD_01256	CDS	291				hypothetical protein
JDBAEIFD_01257	CDS	225				hypothetical protein
JDBAEIFD_01258	CDS	1194		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
JDBAEIFD_01259	CDS	1056			COG0451	putative protein
JDBAEIFD_01260	CDS	525				hypothetical protein
JDBAEIFD_01261	CDS	834				hypothetical protein
JDBAEIFD_01262	CDS	441				hypothetical protein
JDBAEIFD_01263	CDS	1380	nhaA_1		COG3004	Na(+)/H(+) antiporter NhaA
JDBAEIFD_01264	CDS	861	ppk2	2.7.4.-	COG2326	Polyphosphate:GDP phosphotransferase
JDBAEIFD_01265	CDS	405				hypothetical protein
JDBAEIFD_01266	CDS	846	modA		COG0725	Molybdate-binding protein ModA
JDBAEIFD_01267	CDS	867				hypothetical protein
JDBAEIFD_01268	CDS	1116	modC	7.3.2.5	COG1118	Molybdenum import ATP-binding protein ModC
JDBAEIFD_01269	CDS	1389	narK_1		COG2223	Nitrate/nitrite transporter NarK
JDBAEIFD_01270	CDS	4431	napA	1.9.6.1		Periplasmic nitrate reductase
JDBAEIFD_01271	CDS	1617	msrP_1	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
JDBAEIFD_01272	CDS	447			COG0537	putative HIT-like protein
JDBAEIFD_01273	CDS	1221				hypothetical protein
JDBAEIFD_01274	CDS	936		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
JDBAEIFD_01275	CDS	582				hypothetical protein
JDBAEIFD_01276	CDS	2595	nasD_1	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
JDBAEIFD_01277	CDS	420	nirD_1	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
JDBAEIFD_01278	CDS	1314	cysG_1	4.99.1.4		Siroheme synthase
JDBAEIFD_01279	CDS	1119				hypothetical protein
JDBAEIFD_01280	CDS	759				hypothetical protein
JDBAEIFD_01281	CDS	747				hypothetical protein
JDBAEIFD_01282	CDS	576				hypothetical protein
JDBAEIFD_01283	CDS	1533	cex		COG3693	Exoglucanase/xylanase
JDBAEIFD_01284	CDS	492	slyA			Transcriptional regulator SlyA
JDBAEIFD_01285	CDS	498				hypothetical protein
JDBAEIFD_01286	CDS	879	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
JDBAEIFD_01287	CDS	1023	degA_1		COG1609	HTH-type transcriptional regulator DegA
JDBAEIFD_01288	CDS	1650	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
JDBAEIFD_01289	CDS	1377				hypothetical protein
JDBAEIFD_01290	CDS	954	ngcF_3		COG1175	Diacetylchitobiose uptake system permease protein NgcF
JDBAEIFD_01291	CDS	984	ngcG_3		COG0395	Diacetylchitobiose uptake system permease protein NgcG
JDBAEIFD_01292	CDS	1248	hemH	4.99.1.1		Ferrochelatase
JDBAEIFD_01293	CDS	702			COG3253	putative protein/MSMEI_2713
JDBAEIFD_01294	CDS	360				hypothetical protein
JDBAEIFD_01295	CDS	1071	limB	1.14.13.107		Limonene 1,2-monooxygenase
JDBAEIFD_01296	CDS	1272	gdhA	1.4.1.3	COG0334	Glutamate dehydrogenase
JDBAEIFD_01297	CDS	426				hypothetical protein
JDBAEIFD_01298	CDS	3459	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
