# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	879594	880637	-	WP_125971722.1	WP_125971722.1		copper-containing nitrite reductase	nirK		EJO50_RS03935	1044	347	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	880941	881255	-							EJO50_RS03940	315		old_locus_tag=EJO50_03940
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	880941	881255	-	WP_125971723.1	WP_125971723.1		DUF2249 domain-containing protein			EJO50_RS03940	315	104	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	881591	883861	-							EJO50_RS03945	2271		old_locus_tag=EJO50_03945
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	881591	883861	-	WP_125971724.1	WP_125971724.1		nitric-oxide reductase large subunit			EJO50_RS03945	2271	756	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	883980	884741	-							EJO50_RS03950	762		old_locus_tag=EJO50_03950
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	883980	884741	-	WP_125971725.1	WP_125971725.1		putative DNA-binding domain-containing protein			EJO50_RS03950	762	253	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	884716	885549	-							EJO50_RS03955	834		old_locus_tag=EJO50_03955
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	884716	885549	-	WP_125971726.1	WP_125971726.1		DUF692 domain-containing protein			EJO50_RS03955	834	277	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	885596	885859	-							EJO50_RS03960	264		old_locus_tag=EJO50_03960
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	885596	885859	-	WP_125971727.1	WP_125971727.1		hypothetical protein			EJO50_RS03960	264	87	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	886162	886377	-							EJO50_RS03965	216		old_locus_tag=EJO50_03965
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	886162	886377	-	WP_125971728.1	WP_125971728.1		VF530 family protein			EJO50_RS03965	216	71	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	886493	886945	-							EJO50_RS03970	453		old_locus_tag=EJO50_03970
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	886493	886945	-	WP_125971729.1	WP_125971729.1		Rrf2 family transcriptional regulator			EJO50_RS03970	453	150	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	887047	888042	-							EJO50_RS03975	996		old_locus_tag=EJO50_03975
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	887047	888042	-	WP_125971730.1	WP_125971730.1		LacI family DNA-binding transcriptional regulator			EJO50_RS03975	996	331	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	888114	888758	-							EJO50_RS03980	645		old_locus_tag=EJO50_03980
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	888114	888758	-	WP_125971731.1	WP_125971731.1		glutathione S-transferase			EJO50_RS03980	645	214	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	888825	889118	-							EJO50_RS03985	294		old_locus_tag=EJO50_03985
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	888825	889118	-	WP_125971732.1	WP_125971732.1		helix-hairpin-helix domain-containing protein			EJO50_RS03985	294	97	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	889160	889654	-							EJO50_RS03990	495		old_locus_tag=EJO50_03990
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	889160	889654	-	WP_125971733.1	WP_125971733.1		type II secretion system protein			EJO50_RS03990	495	164	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	889626	890015	-							EJO50_RS03995	390		old_locus_tag=EJO50_03995
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	889626	890015	-	WP_125971734.1	WP_125971734.1		type II secretion system GspH family protein			EJO50_RS03995	390	129	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	890541	891035	-							EJO50_RS04000	495		old_locus_tag=EJO50_04000
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	890541	891035	-	WP_125971735.1	WP_125971735.1		type II secretion system GspH family protein			EJO50_RS04000	495	164	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	891038	892990	-							EJO50_RS04005	1953		old_locus_tag=EJO50_04005
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	891038	892990	-	WP_125971736.1	WP_125971736.1		hypothetical protein			EJO50_RS04005	1953	650	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	893136	893660	-							EJO50_RS04010	525		old_locus_tag=EJO50_04010
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	893136	893660	-	WP_125971737.1	WP_125971737.1		hypothetical protein			EJO50_RS04010	525	174	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	893657	894202	-					pilO		EJO50_RS04015	546		old_locus_tag=EJO50_04015
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	893657	894202	-	WP_125971738.1	WP_125971738.1		type 4a pilus biogenesis protein PilO	pilO		EJO50_RS04015	546	181	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	894199	894723	-							EJO50_RS04020	525		old_locus_tag=EJO50_04020
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	894199	894723	-	WP_125971739.1	WP_125971739.1		hypothetical protein			EJO50_RS04020	525	174	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	895079	895861	-							EJO50_RS04025	783		old_locus_tag=EJO50_04025
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	895079	895861	-	WP_125971740.1	WP_125971740.1		hypothetical protein			EJO50_RS04025	783	260	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	896064	897716	-							EJO50_RS04030	1653		old_locus_tag=EJO50_04030
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	896064	897716	-	WP_125971741.1	WP_125971741.1		GspE/PulE family protein			EJO50_RS04030	1653	550	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	897713	898885	-							EJO50_RS04035	1173		old_locus_tag=EJO50_04035
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	897713	898885	-	WP_125971742.1	WP_125971742.1		type II secretion system F family protein			EJO50_RS04035	1173	390	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	898981	899397	-					gspG		EJO50_RS04040	417		old_locus_tag=EJO50_04040
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	898981	899397	-	WP_125971743.1	WP_125971743.1		type II secretion system major pseudopilin GspG	gspG		EJO50_RS04040	417	138	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	899791	901113	+							EJO50_RS04045	1323		old_locus_tag=EJO50_04045
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	899791	901113	+	WP_125971744.1	WP_125971744.1		multidrug transporter			EJO50_RS04045	1323	440	
gene	pseudogene	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	901444	902843	+							EJO50_RS04050	1400		pseudo;old_locus_tag=EJO50_04050
CDS	without_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	901444	902843	+				L-serine ammonia-lyase			EJO50_RS04050	1400		pseudo
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	903065	904042	-							EJO50_RS04055	978		old_locus_tag=EJO50_04055
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	903065	904042	-	WP_125971745.1	WP_125971745.1		GlxA family transcriptional regulator			EJO50_RS04055	978	325	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	904143	905132	+							EJO50_RS04060	990		old_locus_tag=EJO50_04060
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	904143	905132	+	WP_206434446.1	WP_206434446.1		SLAC1 anion channel family protein			EJO50_RS04060	990	329	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	905260	906675	-					aspA		EJO50_RS04065	1416		old_locus_tag=EJO50_04065
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	905260	906675	-	WP_164521423.1	WP_164521423.1		aspartate ammonia-lyase	aspA		EJO50_RS04065	1416	471	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	907063	907836	+							EJO50_RS04070	774		old_locus_tag=EJO50_04070
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	907063	907836	+	WP_125971746.1	WP_125971746.1		hypothetical protein			EJO50_RS04070	774	257	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	907924	908502	+							EJO50_RS04075	579		old_locus_tag=EJO50_04075
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	907924	908502	+	WP_125971747.1	WP_125971747.1		hypothetical protein			EJO50_RS04075	579	192	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	908557	910554	-							EJO50_RS04080	1998		old_locus_tag=EJO50_04080
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	908557	910554	-	WP_233702168.1	WP_233702168.1		DUF839 domain-containing protein			EJO50_RS04080	1998	665	
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	911224	911314	+							EJO50_RS04085	91		old_locus_tag=EJO50_04085
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	911224	911314	+				tRNA-Ser			EJO50_RS04085	91		anticodon=GGA
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	911697	914285	+							EJO50_RS04090	2589		old_locus_tag=EJO50_04090
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	911697	914285	+	WP_125971748.1	WP_125971748.1		type I restriction-modification system subunit M			EJO50_RS04090	2589	862	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	914286	915500	+							EJO50_RS04095	1215		old_locus_tag=EJO50_04095
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	914286	915500	+	WP_206434447.1	WP_206434447.1		restriction endonuclease subunit S			EJO50_RS04095	1215	404	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	916147	916770	+							EJO50_RS04100	624		old_locus_tag=EJO50_04100
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	916147	916770	+	WP_125971749.1	WP_125971749.1		Fic family protein			EJO50_RS04100	624	207	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	916904	917296	+							EJO50_RS04105	393		old_locus_tag=EJO50_04105
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	916904	917296	+	WP_164521424.1	WP_164521424.1		endonuclease domain-containing protein			EJO50_RS04105	393	130	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	917497	920694	+							EJO50_RS04110	3198		old_locus_tag=EJO50_04110
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	917497	920694	+	WP_125971750.1	WP_125971750.1		HsdR family type I site-specific deoxyribonuclease			EJO50_RS04110	3198	1065	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	921636	924197	+							EJO50_RS17125	2562		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	921636	924197	+	WP_164521425.1	WP_164521425.1		cytotoxic necrotizing factor			EJO50_RS17125	2562	853	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	924523	926040	+							EJO50_RS04120	1518		old_locus_tag=EJO50_04120
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	924523	926040	+	WP_125971751.1	WP_125971751.1		fumarate hydratase			EJO50_RS04120	1518	505	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	926248	929118	-					gcvP		EJO50_RS04125	2871		old_locus_tag=EJO50_04125
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	926248	929118	-	WP_125971752.1	WP_125971752.1		aminomethyl-transferring glycine dehydrogenase	gcvP		EJO50_RS04125	2871	956	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	929309	929686	-					gcvH		EJO50_RS04130	378		old_locus_tag=EJO50_04130
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	929309	929686	-	WP_125971753.1	WP_125971753.1		glycine cleavage system protein GcvH	gcvH		EJO50_RS04130	378	125	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	929934	931025	-					gcvT		EJO50_RS04135	1092		old_locus_tag=EJO50_04135
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	929934	931025	-	WP_125971754.1	WP_125971754.1		glycine cleavage system aminomethyltransferase GcvT	gcvT		EJO50_RS04135	1092	363	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	931380	933392	-							EJO50_RS04140	2013		old_locus_tag=EJO50_04140
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	931380	933392	-	WP_125971755.1	WP_125971755.1		BCCT family transporter			EJO50_RS04140	2013	670	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	933552	935294	-							EJO50_RS04145	1743		old_locus_tag=EJO50_04145
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	933552	935294	-	WP_206434448.1	WP_206434448.1		STAS domain-containing protein			EJO50_RS04145	1743	580	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	935345	936850	-							EJO50_RS04150	1506		old_locus_tag=EJO50_04150
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	935345	936850	-	WP_125971756.1	WP_125971756.1		GGDEF domain-containing protein			EJO50_RS04150	1506	501	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	937115	939697	-					clpB		EJO50_RS04155	2583		old_locus_tag=EJO50_04155
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	937115	939697	-	WP_125971757.1	WP_125971757.1		ATP-dependent chaperone ClpB	clpB		EJO50_RS04155	2583	860	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	940067	941581	-							EJO50_RS04160	1515		old_locus_tag=EJO50_04160
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	940067	941581	-	WP_125971758.1	WP_125971758.1		mechanosensitive ion channel			EJO50_RS04160	1515	504	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	941753	944017	-							EJO50_RS04165	2265		old_locus_tag=EJO50_04165
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	941753	944017	-	WP_125971759.1	WP_125971759.1		arginine/lysine/ornithine decarboxylase			EJO50_RS04165	2265	754	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	944556	945140	-							EJO50_RS04170	585		old_locus_tag=EJO50_04170
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	944556	945140	-	WP_125971760.1	WP_125971760.1		hypothetical protein			EJO50_RS04170	585	194	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	945312	947246	-							EJO50_RS04175	1935		old_locus_tag=EJO50_04175
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	945312	947246	-	WP_125971761.1	WP_125971761.1		hypothetical protein			EJO50_RS04175	1935	644	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	947243	947887	-							EJO50_RS04180	645		old_locus_tag=EJO50_04180
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	947243	947887	-	WP_125971762.1	WP_125971762.1		hypothetical protein			EJO50_RS04180	645	214	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	947865	948242	-							EJO50_RS04185	378		old_locus_tag=EJO50_04185
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	947865	948242	-	WP_125971763.1	WP_125971763.1		hypothetical protein			EJO50_RS04185	378	125	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	948259	948708	-							EJO50_RS04190	450		old_locus_tag=EJO50_04190
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	948259	948708	-	WP_125971764.1	WP_125971764.1		prepilin-type N-terminal cleavage/methylation domain-containing protein			EJO50_RS04190	450	149	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	948689	948958	-							EJO50_RS04195	270		old_locus_tag=EJO50_04195
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	948689	948958	-	WP_233702210.1	WP_233702210.1		hypothetical protein			EJO50_RS04195	270	89	
gene	pseudogene	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	948992	949096	-							EJO50_RS17385	105		partial;pseudo
CDS	without_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	948992	949096	-				prepilin-type N-terminal cleavage/methylation domain-containing protein			EJO50_RS17385	105		partial;pseudo
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	949190	949603	-							EJO50_RS04200	414		old_locus_tag=EJO50_04200
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	949190	949603	-	WP_125971766.1	WP_125971766.1		hypothetical protein			EJO50_RS04200	414	137	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	950333	951307	-							EJO50_RS04205	975		old_locus_tag=EJO50_04205
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	950333	951307	-	WP_125971767.1	WP_125971767.1		threonylcarbamoyl-AMP synthase			EJO50_RS04205	975	324	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	951512	952021	+					luxS		EJO50_RS04210	510		old_locus_tag=EJO50_04210
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	951512	952021	+	WP_125971768.1	WP_125971768.1		S-ribosylhomocysteine lyase	luxS		EJO50_RS04210	510	169	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	952074	953660	-							EJO50_RS04215	1587		old_locus_tag=EJO50_04215
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	952074	953660	-	WP_125971769.1	WP_125971769.1		DHA2 family efflux MFS transporter permease subunit			EJO50_RS04215	1587	528	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	953724	954809	-							EJO50_RS04220	1086		old_locus_tag=EJO50_04220
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	953724	954809	-	WP_125971770.1	WP_125971770.1		HlyD family secretion protein			EJO50_RS04220	1086	361	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	954806	955444	-							EJO50_RS04225	639		old_locus_tag=EJO50_04225
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	954806	955444	-	WP_164521426.1	WP_164521426.1		TetR/AcrR family transcriptional regulator			EJO50_RS04225	639	212	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	955636	956304	-							EJO50_RS04230	669		old_locus_tag=EJO50_04230
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	955636	956304	-	WP_125971772.1	WP_125971772.1		Crp/Fnr family transcriptional regulator			EJO50_RS04230	669	222	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	956354	957025	-							EJO50_RS04235	672		old_locus_tag=EJO50_04235
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	956354	957025	-	WP_125971774.1	WP_125971774.1		Crp/Fnr family transcriptional regulator			EJO50_RS04235	672	223	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	957025	957411	-							EJO50_RS04240	387		old_locus_tag=EJO50_04240
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	957025	957411	-	WP_125971776.1	WP_125971776.1		hypothetical protein			EJO50_RS04240	387	128	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	957489	958364	-							EJO50_RS04245	876		old_locus_tag=EJO50_04245
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	957489	958364	-	WP_125971778.1	WP_125971778.1		Tim44-like domain-containing protein			EJO50_RS04245	876	291	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	958521	958877	-							EJO50_RS04250	357		old_locus_tag=EJO50_04250
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	958521	958877	-	WP_046353270.1	WP_046353270.1		dihydroneopterin aldolase			EJO50_RS04250	357	118	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	958959	959570	+					plsY		EJO50_RS04255	612		old_locus_tag=EJO50_04255
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	958959	959570	+	WP_125971780.1	WP_125971780.1		glycerol-3-phosphate 1-O-acyltransferase PlsY	plsY		EJO50_RS04255	612	203	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	959647	960102	-					smpB		EJO50_RS04260	456		old_locus_tag=EJO50_04260
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	959647	960102	-	WP_125971782.1	WP_125971782.1		SsrA-binding protein SmpB	smpB		EJO50_RS04260	456	151	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	960166	961152	+							EJO50_RS04265	987		old_locus_tag=EJO50_04265
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	960166	961152	+	WP_125971784.1	WP_125971784.1		asparaginase domain-containing protein			EJO50_RS04265	987	328	
gene	SRP_RNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	961227	961324	+					ffs		EJO50_RS04270	98		old_locus_tag=EJO50_04270
ncRNA	SRP_RNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	961227	961324	+				signal recognition particle sRNA small type	ffs		EJO50_RS04270	98		
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	961652	962203	+							EJO50_RS04275	552		old_locus_tag=EJO50_04275
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	961652	962203	+	WP_125971786.1	WP_125971786.1		septation protein A			EJO50_RS04275	552	183	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	962203	962502	+							EJO50_RS04280	300		old_locus_tag=EJO50_04280
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	962203	962502	+	WP_125971788.1	WP_125971788.1		YciI family protein			EJO50_RS04280	300	99	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	962459	962770	+							EJO50_RS04285	312		old_locus_tag=EJO50_04285
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	962459	962770	+	WP_233702169.1	WP_233702169.1		BolA family transcriptional regulator			EJO50_RS04285	312	103	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	962821	963603	+							EJO50_RS04290	783		old_locus_tag=EJO50_04290
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	962821	963603	+	WP_125971790.1	WP_125971790.1		peptidylprolyl isomerase			EJO50_RS04290	783	260	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	963816	965207	-							EJO50_RS04295	1392		old_locus_tag=EJO50_04295
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	963816	965207	-	WP_125971792.1	WP_125971792.1		L-serine ammonia-lyase			EJO50_RS04295	1392	463	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	965276	966553	-							EJO50_RS04300	1278		old_locus_tag=EJO50_04300
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	965276	966553	-	WP_233702215.1	WP_233702215.1		serine/threonine transporter			EJO50_RS04300	1278	425	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	966589	967215	-							EJO50_RS04305	627		old_locus_tag=EJO50_04305
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	966589	967215	-	WP_125971797.1	WP_125971797.1		PAS domain-containing protein			EJO50_RS04305	627	208	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	967991	968707	-							EJO50_RS04310	717		old_locus_tag=EJO50_04310
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	967991	968707	-	WP_125971799.1	WP_125971799.1		ABC transporter ATP-binding protein			EJO50_RS04310	717	238	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	968751	969521	-							EJO50_RS04315	771		old_locus_tag=EJO50_04315
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	968751	969521	-	WP_125971801.1	WP_125971801.1		ABC transporter ATP-binding protein			EJO50_RS04315	771	256	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	969518	970627	-							EJO50_RS04320	1110		old_locus_tag=EJO50_04320
